GEOID,state,county,strokeRate
1001,Alabama,Autauga,97.4
1003,Alabama,Baldwin,88.5
1005,Alabama,Barbour,92.1
1007,Alabama,Bibb,111.8
1009,Alabama,Blount,89.9
1011,Alabama,Bullock,100.1
1013,Alabama,Butler,93.9
1015,Alabama,Calhoun,84.3
1017,Alabama,Chambers,117.1
1019,Alabama,Cherokee,88.4
1021,Alabama,Chilton,96.6
1023,Alabama,Choctaw,89.9
1025,Alabama,Clarke,91.0
1027,Alabama,Clay,96.6
1029,Alabama,Cleburne,59.8
1031,Alabama,Coffee,92.1
1033,Alabama,Colbert,82.6
1035,Alabama,Conecuh,91.7
1037,Alabama,Coosa,79.7
1039,Alabama,Covington,112.2
1041,Alabama,Crenshaw,99.5
1043,Alabama,Cullman,100.4
1045,Alabama,Dale,83.4
1047,Alabama,Dallas,106.1
1049,Alabama,DeKalb,86.6
1051,Alabama,Elmore,88.1
1053,Alabama,Escambia,97.1
1055,Alabama,Etowah,92.6
1057,Alabama,Fayette,105.6
1059,Alabama,Franklin,119.5
1061,Alabama,Geneva,95.6
1063,Alabama,Greene,105.0
1065,Alabama,Hale,106.5
1067,Alabama,Henry,86.5
1069,Alabama,Houston,83.8
1071,Alabama,Jackson,96.9
1073,Alabama,Jefferson,104.3
1075,Alabama,Lamar,107.6
1077,Alabama,Lauderdale,102.8
1079,Alabama,Lawrence,114.0
1081,Alabama,Lee,82.7
1083,Alabama,Limestone,91.9
1085,Alabama,Lowndes,99.2
1087,Alabama,Macon,91.7
1089,Alabama,Madison,79.9
1091,Alabama,Marengo,100.8
1093,Alabama,Marion,73.2
1095,Alabama,Marshall,114.1
1097,Alabama,Mobile,101.0
1099,Alabama,Monroe,95.2
1101,Alabama,Montgomery,97.4
1103,Alabama,Morgan,92.2
1105,Alabama,Perry,109.3
1107,Alabama,Pickens,106.7
1109,Alabama,Pike,95.5
1111,Alabama,Randolph,102.1
1113,Alabama,Russell,91.3
1115,Alabama,St. Clair,100.0
1117,Alabama,Shelby,73.1
1119,Alabama,Sumter,95.5
1121,Alabama,Talladega,110.4
1123,Alabama,Tallapoosa,86.2
1125,Alabama,Tuscaloosa,103.8
1127,Alabama,Walker,92.3
1129,Alabama,Washington,94.4
1131,Alabama,Wilcox,103.8
1133,Alabama,Winston,90.6
2013,Alaska,Aleutians East,-1.0
2016,Alaska,Aleutians West,-1.0
2020,Alaska,Anchorage,73.3
2050,Alaska,Bethel,81.1
2060,Alaska,Bristol Bay,-1.0
2068,Alaska,Denali,85.5
2070,Alaska,Dillingham,113.3
2090,Alaska,Fairbanks North Star,97.1
2100,Alaska,Haines,81.0
2110,Alaska,Juneau,81.0
2122,Alaska,Kenai Peninsula,70.9
2130,Alaska,Ketchikan Gateway,-1.0
2150,Alaska,Kodiak Island,55.9
2164,Alaska,Lake and Peninsula,58.9
2170,Alaska,Matanuska-Susitna,73.0
2180,Alaska,Nome,157.8
2185,Alaska,North Slope,95.5
2188,Alaska,Northwest Arctic,111.6
2201,Alaska,Prince of Wales-Outer Ketchikan,-1.0
2220,Alaska,Sitka,-1.0
2232,Alaska,Skagway-Hoonah-Angoon,-1.0
2240,Alaska,Southeast Fairbanks,78.7
2261,Alaska,Valdez-Cordova,72.8
2270,Alaska,Wade Hampton,168.3
2280,Alaska,Wrangell-Petersburg,-1.0
2282,Alaska,Yakutat,-1.0
2290,Alaska,Yukon-Koyukuk,85.7
4001,Arizona,Apache,59.0
4003,Arizona,Cochise,63.4
4005,Arizona,Coconino,61.4
4007,Arizona,Gila,59.3
4009,Arizona,Graham,62.2
4011,Arizona,Greenlee,62.0
4012,Arizona,La Paz,60.6
4013,Arizona,Maricopa,55.0
4015,Arizona,Mohave,65.2
4017,Arizona,Navajo,70.9
4019,Arizona,Pima,61.5
4021,Arizona,Pinal,53.9
4023,Arizona,Santa Cruz,63.3
4025,Arizona,Yavapai,57.6
4027,Arizona,Yuma,52.7
5001,Arkansas,Arkansas,112.2
5003,Arkansas,Ashley,110.3
5005,Arkansas,Baxter,94.7
5007,Arkansas,Benton,85.6
5009,Arkansas,Boone,84.6
5011,Arkansas,Bradley,110.9
5013,Arkansas,Calhoun,107.1
5015,Arkansas,Carroll,89.9
5017,Arkansas,Chicot,111.9
5019,Arkansas,Clark,110.7
5021,Arkansas,Clay,124.4
5023,Arkansas,Cleburne,89.9
5025,Arkansas,Cleveland,101.6
5027,Arkansas,Columbia,118.5
5029,Arkansas,Conway,94.6
5031,Arkansas,Craighead,97.6
5033,Arkansas,Crawford,88.1
5035,Arkansas,Crittenden,83.1
5037,Arkansas,Cross,127.1
5039,Arkansas,Dallas,100.5
5041,Arkansas,Desha,122.0
5043,Arkansas,Drew,111.1
5045,Arkansas,Faulkner,92.9
5047,Arkansas,Franklin,98.4
5049,Arkansas,Fulton,82.7
5051,Arkansas,Garland,94.6
5053,Arkansas,Grant,86.9
5055,Arkansas,Greene,123.7
5057,Arkansas,Hempstead,105.6
5059,Arkansas,Hot Spring,98.9
5061,Arkansas,Howard,106.3
5063,Arkansas,Independence,77.3
5065,Arkansas,Izard,78.4
5067,Arkansas,Jackson,82.8
5069,Arkansas,Jefferson,97.2
5071,Arkansas,Johnson,98.8
5073,Arkansas,Lafayette,96.2
5075,Arkansas,Lawrence,75.4
5077,Arkansas,Lee,114.7
5079,Arkansas,Lincoln,101.4
5081,Arkansas,Little River,95.8
5083,Arkansas,Logan,98.9
5085,Arkansas,Lonoke,103.1
5087,Arkansas,Madison,82.9
5089,Arkansas,Marion,84.7
5091,Arkansas,Miller,99.5
5093,Arkansas,Mississippi,99.3
5095,Arkansas,Monroe,122.4
5097,Arkansas,Montgomery,101.5
5099,Arkansas,Nevada,118.4
5101,Arkansas,Newton,92.6
5103,Arkansas,Ouachita,113.9
5105,Arkansas,Perry,88.0
5107,Arkansas,Phillips,123.8
5109,Arkansas,Pike,114.7
5111,Arkansas,Poinsett,89.7
5113,Arkansas,Polk,88.0
5115,Arkansas,Pope,97.9
5117,Arkansas,Prairie,105.7
5119,Arkansas,Pulaski,87.0
5121,Arkansas,Randolph,92.3
5123,Arkansas,St. Francis,126.7
5125,Arkansas,Saline,82.0
5127,Arkansas,Scott,95.5
5129,Arkansas,Searcy,94.1
5131,Arkansas,Sebastian,96.1
5133,Arkansas,Sevier,79.5
5135,Arkansas,Sharp,71.7
5137,Arkansas,Stone,92.2
5139,Arkansas,Union,110.3
5141,Arkansas,Van Buren,95.2
5143,Arkansas,Washington,83.6
5145,Arkansas,White,95.2
5147,Arkansas,Woodruff,101.9
5149,Arkansas,Yell,97.8
6001,California,Alameda,71.2
6003,California,Alpine,54.2
6005,California,Amador,67.9
6007,California,Butte,85.4
6009,California,Calaveras,73.6
6011,California,Colusa,77.8
6013,California,Contra Costa,71.1
6015,California,Del Norte,95.2
6017,California,El Dorado,51.2
6019,California,Fresno,88.4
6021,California,Glenn,79.6
6023,California,Humboldt,104.7
6025,California,Imperial,65.1
6027,California,Inyo,78.3
6029,California,Kern,74.4
6031,California,Kings,71.0
6033,California,Lake,80.0
6035,California,Lassen,59.5
6037,California,Los Angeles,66.8
6039,California,Madera,87.0
6041,California,Marin,53.4
6043,California,Mariposa,82.4
6045,California,Mendocino,66.4
6047,California,Merced,80.1
6049,California,Modoc,74.0
6051,California,Mono,78.6
6053,California,Monterey,76.5
6055,California,Napa,73.9
6057,California,Nevada,56.4
6059,California,Orange,66.8
6061,California,Placer,58.9
6063,California,Plumas,84.8
6065,California,Riverside,67.8
6067,California,Sacramento,76.3
6069,California,San Benito,78.1
6071,California,San Bernardino,72.7
6073,California,San Diego,63.4
6075,California,San Francisco,65.7
6077,California,San Joaquin,86.7
6079,California,San Luis Obispo,104.6
6081,California,San Mateo,53.8
6083,California,Santa Barbara,71.8
6085,California,Santa Clara,49.2
6087,California,Santa Cruz,57.9
6089,California,Shasta,90.9
6091,California,Sierra,60.9
6093,California,Siskiyou,87.6
6095,California,Solano,72.4
6097,California,Sonoma,69.0
6099,California,Stanislaus,84.3
6101,California,Sutter,78.6
6103,California,Tehama,87.2
6105,California,Trinity,75.6
6107,California,Tulare,88.4
6109,California,Tuolumne,77.1
6111,California,Ventura,67.2
6113,California,Yolo,72.9
6115,California,Yuba,93.2
8001,Colorado,Adams,62.4
8003,Colorado,Alamosa,70.8
8005,Colorado,Arapahoe,57.0
8007,Colorado,Archuleta,62.2
8009,Colorado,Baca,61.9
8011,Colorado,Bent,74.3
8013,Colorado,Boulder,61.1
8014,Colorado,Broomfield,62.4
8015,Colorado,Chaffee,69.0
8017,Colorado,Cheyenne,-1.0
8019,Colorado,Clear Creek,57.4
8021,Colorado,Conejos,77.1
8023,Colorado,Costilla,69.4
8025,Colorado,Crowley,73.9
8027,Colorado,Custer,78.3
8029,Colorado,Delta,70.9
8031,Colorado,Denver,61.0
8033,Colorado,Dolores,57.0
8035,Colorado,Douglas,52.0
8037,Colorado,Eagle,41.2
8039,Colorado,Elbert,60.6
8041,Colorado,El Paso,72.2
8043,Colorado,Fremont,79.4
8045,Colorado,Garfield,48.3
8047,Colorado,Gilpin,58.6
8049,Colorado,Grand,62.7
8051,Colorado,Gunnison,68.1
8053,Colorado,Hinsdale,55.2
8055,Colorado,Huerfano,75.1
8057,Colorado,Jackson,65.1
8059,Colorado,Jefferson,58.4
8061,Colorado,Kiowa,71.7
8063,Colorado,Kit Carson,72.1
8065,Colorado,Lake,45.3
8067,Colorado,La Plata,49.8
8069,Colorado,Larimer,63.4
8071,Colorado,Las Animas,75.5
8073,Colorado,Lincoln,65.4
8075,Colorado,Logan,65.2
8077,Colorado,Mesa,69.3
8079,Colorado,Mineral,84.8
8081,Colorado,Moffat,85.8
8083,Colorado,Montezuma,75.4
8085,Colorado,Montrose,67.2
8087,Colorado,Morgan,64.8
8089,Colorado,Otero,77.3
8091,Colorado,Ouray,65.4
8093,Colorado,Park,53.5
8095,Colorado,Phillips,56.8
8097,Colorado,Pitkin,54.4
8099,Colorado,Prowers,66.4
8101,Colorado,Pueblo,74.9
8103,Colorado,Rio Blanco,99.0
8105,Colorado,Rio Grande,87.5
8107,Colorado,Routt,36.8
8109,Colorado,Saguache,71.3
8111,Colorado,San Juan,52.7
8113,Colorado,San Miguel,28.2
8115,Colorado,Sedgwick,61.7
8117,Colorado,Summit,44.8
8119,Colorado,Teller,59.9
8121,Colorado,Washington,59.9
8123,Colorado,Weld,64.3
8125,Colorado,Yuma,64.6
9001,Connecticut,Fairfield,52.9
9003,Connecticut,Hartford,53.7
9005,Connecticut,Litchfield,54.9
9007,Connecticut,Middlesex,53.8
9009,Connecticut,New Haven,53.3
9011,Connecticut,New London,54.8
9013,Connecticut,Tolland,58.3
9015,Connecticut,Windham,61.5
10001,Delaware,Kent,71.4
10003,Delaware,New Castle,83.5
10005,Delaware,Sussex,59.6
11001,District of Columbia,District of Columbia,62.8
12001,Florida,Alachua,70.9
12003,Florida,Baker,80.1
12005,Florida,Bay,65.1
12007,Florida,Bradford,73.4
12009,Florida,Brevard,59.5
12011,Florida,Broward,64.7
12013,Florida,Calhoun,52.9
12015,Florida,Charlotte,46.4
12017,Florida,Citrus,120.9
12019,Florida,Clay,73.7
12021,Florida,Collier,48.0
12023,Florida,Columbia,90.6
12027,Florida,DeSoto,51.3
12029,Florida,Dixie,73.2
12031,Florida,Duval,74.2
12033,Florida,Escambia,92.4
